,date,currency,exchange_rate
0,5-Sep-23,USD,4.657
1,5-Sep-23,JPY100,3.1784
2,5-Sep-23,AUD,3.0042
3,5-Sep-23,CAD,3.4239
4,5-Sep-23,SGD,3.4365
5,5-Oct-23,USD,4.726
6,5-Oct-23,JPY100,3.1815
7,5-Oct-23,AUD,2.9982
8,5-Oct-23,CAD,3.4396
9,5-Oct-23,SGD,3.4489
10,6-Nov-23,USD,4.6785
11,6-Nov-23,JPY100,3.1287
12,6-Nov-23,AUD,3.048
13,6-Nov-23,CAD,3.4243
14,6-Nov-23,SGD,3.4585
15,5-Dec-23,USD,4.6673
16,5-Dec-23,JPY100,3.1742
17,5-Dec-23,AUD,3.0888
18,5-Dec-23,CAD,3.4466
19,5-Dec-23,SGD,3.4907
20,5-Jan-24,USD,4.6455
21,5-Jan-24,JPY100,3.2081
22,5-Jan-24,AUD,3.1157
23,5-Jan-24,CAD,3.479
24,5-Jan-24,SGD,3.4946
25,5-Feb-24,USD,4.7595
26,5-Feb-24,JPY100,3.2008
27,5-Feb-24,AUD,3.0903
28,5-Feb-24,CAD,3.5308
29,5-Feb-24,SGD,3.5395
30,5-Mar-24,USD,4.7255
31,5-Mar-24,JPY100,3.1421
32,5-Mar-24,AUD,3.0754
33,5-Mar-24,CAD,3.4805
34,5-Mar-24,SGD,3.5176
35,5-Apr-24,USD,4.739
36,5-Apr-24,JPY100,3.1402
37,5-Apr-24,AUD,3.1228
38,5-Apr-24,CAD,3.4979
39,5-Apr-24,SGD,3.5157
40,6-May-24,USD,4.7365
41,6-May-24,JPY100,3.0874
42,6-May-24,AUD,3.1339
43,6-May-24,CAD,3.4605
44,6-May-24,SGD,3.5081
45,5-Jun-24,USD,4.699
46,5-Jun-24,JPY100,3.0272
47,5-Jun-24,AUD,3.1253
48,5-Jun-24,CAD,3.4359
49,5-Jun-24,SGD,3.4899
50,5-Jul-24,USD,4.708
51,5-Jul-24,JPY100,2.9229
52,5-Jul-24,AUD,3.1699
53,5-Jul-24,CAD,3.4595
54,5-Jul-24,SGD,3.4852
55,6-Aug-24,USD,4.454
56,6-Aug-24,JPY100,3.0709
57,6-Aug-24,AUD,2.9118
58,6-Aug-24,CAD,3.2289
59,6-Aug-24,SGD,3.3658
60,5-Sep-24,USD,4.34
61,5-Sep-24,JPY100,3.0197
62,5-Sep-24,AUD,2.9176
63,5-Sep-24,CAD,3.2128
64,5-Sep-24,SGD,3.3299
